Código;Cant. por caja
010342;100
010442;100
010542;100
011921;100
100;100
10000801;10
10000802;10
10000803;10
10000804;10
10000805;10
10002001;10
10002002;10
10002003;10
10002004;10
10002005;10
1000424;10
1000425;10
10010800;10
10010801;10
10010802;10
10010803;10
10010804;10
10010805;10
10012001;10
10012002;10
10012003;10
10012004;10
10012005;10
10012006;10
100121;100
100122;100
100123;100
100124;100
100125;100
100126;100
100127;100
100141;100
100142;100
1001423;10
1001424;10
1001425;10
100143;100
100144;100
100145;100
10020200;10
10020201;10
10020202;10
10020203;10
10020204;10
10020205;10
10020400;10
10020401;10
10020402;10
10020403;10
10020404;10
10020405;10
100221;100
100222;100
100223;100
100224;100
100225;100
100226;100
100227;100
10023500;10
10023501;10
10023502;10
10023503;10
10023504;10
10023505;10
100241;100
100243;100
100244;100
100246;100
10030200;10
10030201;10
10030202;10
10030203;10
10030204;10
10030205;10
10030206;10
10030400;10
10030401;10
10030402;10
10030403;10
10030404;10
10030405;10
10030406;10
100321;100
100322;100
100323;100
100324;100
100325;100
100326;100
100327;100
10033500;10
10033501;10
10033502;10
10033503;10
10033504;10
10033505;10
10033506;10
100341;100
100342;100
100343;100
100344;100
100345;100
10040200;15
10040201;15
10040202;15
10040203;15
10040204;15
10040205;15
10040206;15
10040400;30
10040401;15
10040402;15 / 30
10040403;15
10040404;15 / 30
10040405;15
10040406;30
10040501;15
10040502;15
10040503;15
10040504;15
10040505;15
10040506;15
100411;100
100412;100
100421;100
100422;100
100423;100
100424;100
100425;100
100426;100
100427;100
100441;100
100442;100
100443;100
100444;100
100445;100
100446;100
10050200;15
10050201;15
10050202;15
10050203;15
10050205;15
10050206;15
10050400;15
10050401;15
10050402;15
10050403;15
10050404;15
10050405;15
10050406;15
10050500;15
10050501;15
10050502;15
10050503;15
10050504;15
10050505;15
10050506;15
100521;100
100522;100
100523;100
100524;100
100525;100
100526;100
100527;100
100541;100
100542;100
100543;100
100544;100
100545;100
100621;100
100622;100
100623;100
100624;100
100625;100
100642;100
100644;100
100721;100
100722;100
100723;100
100724;100
100725;100
100726;100
100741;100
100742;100
100743;100
100744;100
100745;100
100821;100
100822;100
100823;100
100824;100
100825;100
100826;100
100921;100
100922;100
100923;100
100924;100
100925;100
100926;100
101;100
101021;100
101022;100
101023;100
101024;100
101025;100
101026;100
101041;100
101042;100
101043;100
101044;100
101121;100
101122;100
101123;100
101124;100
101125;100
101126;100
101221;100
101222;100
101223;100
101224;100
101225;100
101226;100
101241;100
101242;100
101243;100
101421;100
101422;100
101423;100
101424;100
101425;100
101426;100
101427;100
101725;100
101921;100
101922;100
101923;100
101924;100
101925;100
101926;100000
1020325;10
1020424;10
1020425;10
1020524;10
1020525;10
102125;100
102221;100
102222;100
102223;100
102224;100
102225;100
102226;100
102323;100
102324;100
102325;100
102423;100
102523;100
102524;100
102525;100
1030321;10
1030322;10
1030323;10
1030324;10
1030325;10
1030421;10
1030422;10
1030423;10
1030424;10
1030425;10
1030521;10
1030522;10
1030523;10
1030524;10
1030525;10
1040421;10
1040422;10
1040423;10
1040424;10
1040425;10
1040426;10
1040521;10
1040522;10
1040523;10
1040524;10
1040525;10
1040526;10
1041421;10
1041422;10
1041423;10 / 70
1041424;10
1041425;10
1041426;10
1043521;10
1043522;10
1043523;10
1043524;10
1043525;10
1043526;10
1050421;10
1050422;10
1050423;10
1050424;10
1050425;10
1050426;10
1050521;10
1050522;10
1050523;10
1050524;10
1050525;10
1050526;10
1051421;10
1051422;10
1051423;10
1051424;10
1051425;10
1051426;10
1053521;10
1053522;10
1053523;10
1053524;10
1053525;10
1053526;10
1070420;20
1070421;20
1070422;20
1070423;20
1070424;20
1070425;20
1070426;20
1070427;20
1070520;20
1070521;20
1070522;20
1070523;20
1070524;20
1070525;20
1070526;20
1070527;20
1080440;30
1080442;30
