SKU;Producto;Fecha;TipoOperacion;Entrada;Salida;Saldo;Documento;Mes
10010803;PARKA TAURUS DWR TERMICO HOMBRE VERDE MUSGO T/L;2026-06-01;99;0.0;1.0;82.0;00 0000000557;2026-06
10010805;PARKA TAURUS DWR TERMICO HOMBRE VERDE MUSGO T/XXL;2026-06-01;99;0.0;1.0;36.0;00 0000000557;2026-06
10010805;PARKA TAURUS DWR TERMICO HOMBRE VERDE MUSGO T/XXL;2026-06-01;99;0.0;1.0;35.0;00 0003501943;2026-06
100222;Polo M/C Gris 175 T/M;2026-06-01;99;0.0;3.0;103.0;00 0000111293;2026-06
100223;Polo M/C Gris 175 T/L;2026-06-01;99;0.0;3.0;173.0;00 0000111293;2026-06
100224;Polo M/C Gris 175 T/XL;2026-06-01;99;0.0;25.0;167.0;00 0000111293;2026-06
10030202;PARKA ALPES TERMICO/IMPERMEABLE HOMBRE GRIS MEDIO T/M;2026-06-01;99;0.0;1.0;16.0;00 0000111278;2026-06
100322;Polo M/C Rojo 175 T/M;2026-06-01;99;0.0;40.0;311.0;00 0000000575;2026-06
10040200;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR GRIS M. / GRIS OSC.;2026-06-01;99;0.0;1.0;33.0;00 0000000572;2026-06
10040202;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR GRIS M. / GRIS OSC.;2026-06-01;99;0.0;1.0;97.0;00 0000000572;2026-06
10040204;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR GRIS M. / GRIS OSC.;2026-06-01;99;0.0;1.0;38.0;00 0000000572;2026-06
10040205;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR GRIS M. / GRIS OSC.;2026-06-01;99;0.0;1.0;46.0;00 0000000572;2026-06
10040501;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR NEGRO T/S;2026-06-01;99;0.0;1.0;3.0;00 0000000572;2026-06
10040502;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR NEGRO T/M;2026-06-01;99;0.0;5.0;20.0;00 0000000572;2026-06
10040503;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR NEGRO T/L;2026-06-01;99;0.0;4.0;27.0;00 0000000572;2026-06
10040504;CHAQUETA PIRINEOS TERMICO MUJER BICOLOR NEGRO T/XL;2026-06-01;99;0.0;1.0;30.0;00 0000000551;2026-06
100422;Polo M/C Marino 175 T/M;2026-06-01;99;0.0;5.0;486.0;00 0000111218;2026-06
100423;Polo M/C Marino 175 T/L;2026-06-01;99;0.0;5.0;712.0;00 0000111218;2026-06
100424;Polo M/C Marino 175 T/XL;2026-06-01;99;0.0;5.0;526.0;00 0000111218;2026-06
100425;Polo M/C Marino 175 T/XXL;2026-06-01;99;0.0;6.0;269.0;00 0000111218;2026-06
10050201;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR GRIS M. / GRIS;2026-06-01;99;0.0;1.0;109.0;00 0000000572;2026-06
10050403;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR AZUL T/L;2026-06-01;11;0.0;1.0;112.0;00 0000010768;2026-06
10050501;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/S;2026-06-01;99;0.0;3.0;50.0;00 0000111217;2026-06
10050501;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/S;2026-06-01;99;0.0;1.0;49.0;00 0000000572;2026-06
10050502;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/M;2026-06-01;99;0.0;5.0;78.0;00 0000111217;2026-06
10050503;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/L;2026-06-01;99;0.0;7.0;84.0;00 0000111217;2026-06
10050503;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/L;2026-06-01;99;0.0;1.0;83.0;00 0000000551;2026-06
10050503;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/L;2026-06-01;99;0.0;1.0;82.0;00 0000111293;2026-06
10050504;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/XL;2026-06-01;99;0.0;7.0;64.0;00 0000111217;2026-06
10050504;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/XL;2026-06-01;99;0.0;1.0;63.0;00 0000111293;2026-06
10050505;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/2XL;2026-06-01;99;0.0;5.0;38.0;00 0000111217;2026-06
10050506;CHAQUETA PIRINEOS TERMICO HOMBRE BICOLOR NEGRO T/3XL;2026-06-01;99;0.0;1.0;8.0;00 0000000551;2026-06
100523;Polo M/C Negro 175 T/L;2026-06-01;99;0.0;2.0;921.0;00 0000111241;2026-06
100523;Polo M/C Negro 175 T/L;2026-06-01;99;0.0;3.0;918.0;00 0000000565;2026-06
100524;Polo M/C Negro 175 T/XL;2026-06-01;99;0.0;2.0;533.0;00 0000111241;2026-06
100524;Polo M/C Negro 175 T/XL;2026-06-01;99;0.0;4.0;529.0;00 0000000565;2026-06
100525;Polo M/C Negro 175 T/XXL;2026-06-01;99;0.0;4.0;45.0;00 0000000565;2026-06
1040424;Parka 3 en 1 FOREST Hombre Azul Marino T/XL;2026-06-01;99;0.0;3.0;100.0;00 0000111265;2026-06
1040425;Parka 3 en 1 FOREST Hombre Azul Marino T/2XL;2026-06-01;99;0.0;1.0;38.0;00 0000111265;2026-06
1040526;Parka 3 en 1 FOREST Hombre Negro T/3XL;2026-06-01;11;0.0;6.0;17.0;00 0000010762;2026-06
1070424;Micropolar Basico ML Hombre Azul Marino T/XL;2026-06-01;99;0.0;35.0;6.0;00 0000111279;2026-06
1070520;Micropolar Basico ML Hombre Negro T/XS;2026-06-01;21;40.0;0.0;79.0;00 0000011536;2026-06
1070522;Micropolar Basico ML Hombre Negro T/M;2026-06-01;21;400.0;0.0;818.0;00 0000011536;2026-06
1070523;Micropolar Basico ML Hombre Negro T/L;2026-06-01;21;400.0;0.0;905.0;00 0000011536;2026-06
1070524;Micropolar Basico ML Hombre Negro T/XL;2026-06-01;21;200.0;0.0;686.0;00 0000011536;2026-06
1070526;Micropolar Basico ML Hombre Negro T/XXXL;2026-06-01;21;20.0;0.0;93.0;00 0000011536;2026-06
1080546;Pantalón Docker Flex - Teflon Hombre Negro T/46;2026-06-01;99;0.0;2.0;52.0;00 0000111197;2026-06
1080550;Pantalón Docker Flex - Teflon Hombre Negro T/50;2026-06-01;99;0.0;2.0;148.0;00 0000111197;2026-06
1080554;Pantalón Docker Flex - Teflon Hombre Negro T/54;2026-06-01;99;0.0;2.0;35.0;00 0000111197;2026-06
1090444;Pantalón Docker Flex - Teflon Mujer Azul Marino T/44;2026-06-01;99;0.0;2.0;42.0;00 0000111211;2026-06
1090536;Pantalón Docker Flex - Teflon Mujer Negro T/36;2026-06-01;99;0.0;2.0;6.0;00 0000111197;2026-06
1090538;Pantalón Docker Flex - Teflon Mujer Negro T/38;2026-06-01;99;0.0;2.0;74.0;00 0000111197;2026-06
1090542;Pantalón Docker Flex - Teflon Mujer Negro T/42;2026-06-01;99;0.0;6.0;37.0;00 0000111197;2026-06
1090550;Pantalón Docker Flex - Teflon Mujer Negro T/50;2026-06-01;99;0.0;4.0;6.0;00 0000111197;2026-06
1090552;Pantalón Docker Flex - Teflon Mujer Negro T/52;2026-06-01;99;0.0;2.0;12.0;00 0000111197;2026-06
11000804;CHAQUETA CERVINO SPANDEX TERMICO MUJER VERDE MUSGO T/XL;2026-06-01;99;0.0;1.0;49.0;00 0000000551;2026-06
11001401;CHAQUETA CERVINO SPANDEX TERMICO MUJER GRIS ACERO T/S;2026-06-01;99;0.0;1.0;35.0;00 0000111203;2026-06
11001403;CHAQUETA CERVINO SPANDEX TERMICO MUJER GRIS ACERO T/L;2026-06-01;99;1.0;0.0;24.0;00 006660;2026-06
11001403;CHAQUETA CERVINO SPANDEX TERMICO MUJER GRIS ACERO T/L;2026-06-01;99;1.0;0.0;25.0;00 006668;2026-06
11001404;CHAQUETA CERVINO SPANDEX TERMICO MUJER GRIS ACERO T/XL;2026-06-01;99;0.0;1.0;54.0;00 0000111204;2026-06
11010804;CHAQUETA CERVINO SPANDEX TERMICO HOMBRE VERDE MUSGO;2026-06-01;99;0.0;1.0;113.0;00 0000111264;2026-06
11010805;CHAQUETA CERVINO SPANDEX TERMICO HOMBRE VERDE MUSGO;2026-06-01;99;0.0;1.0;15.0;00 0000111264;2026-06
11011401;CHAQUETA CERVINO SPANDEX TERMICO HOMBRE GRIS ACERO T/S;2026-06-01;99;0.0;2.0;77.0;00 0000111203;2026-06
11011404;CHAQUETA CERVINO SPANDEX TERMICO HOMBRE GRIS ACERO T/XL;2026-06-01;99;0.0;1.0;215.0;00 0000111203;2026-06
11011404;CHAQUETA CERVINO SPANDEX TERMICO HOMBRE GRIS ACERO T/XL;2026-06-01;99;0.0;1.0;214.0;00 0000000551;2026-06
110221;Polo M/L Gris 175 T/S;2026-06-01;99;0.0;14.0;241.0;00 0000111282;2026-06
110322;Polo M/L Rojo 175 T/M;2026-06-01;99;0.0;57.0;83.0;00 0000111179;2026-06
110323;Polo M/L Rojo 175 T/L;2026-06-01;99;0.0;51.0;730.0;00 0000111179;2026-06
110323;Polo M/L Rojo 175 T/L;2026-06-01;99;0.0;60.0;670.0;00 0000000575;2026-06
110326;Polo M/L Rojo 175 T/XXXL;2026-06-01;99;0.0;14.0;207.0;00 0000508706;2026-06
